"","RentRs","RentUSD","Posted.On","BHK","Size","Floor","Apt.Floor","Total.Floor","Area.Type","Area.Locality","City","Furnishing.Status","Tenant.Preferred","Bathroom","Point.of.Contact","Month.Num","Month"
"367",12000,144,2022-06-24,2,288,"2 out of 3",2,3,"Carpet Area","Kasba","Kolkata","Unfurnished","Bachelors",1,"Contact Owner",6,"June"
"368",8000,96,2022-06-11,2,900,"Ground out of 1",1,1,"Super Area","Teghoria, Baguiati","Kolkata","Unfurnished","Bachelors/Family",2,"Contact Owner",6,"June"
"369",21000,252,2022-07-03,2,850,"1 out of 1",1,1,"Carpet Area","Salt Lake City Sector 2","Kolkata","Unfurnished","Bachelors",2,"Contact Agent",7,"July"
"370",5000,60,2022-06-07,1,350,"1 out of 1",1,1,"Carpet Area","Thakurpukur","Kolkata","Unfurnished","Bachelors",1,"Contact Owner",6,"June"
"371",9000,108,2022-04-27,2,600,"Ground out of 2",1,2,"Super Area","Baghajatin","Kolkata","Unfurnished","Bachelors/Family",1,"Contact Owner",4,"April"
"372",8000,96,2022-06-26,2,1600,"Ground out of 2",1,2,"Carpet Area","Kalyani","Kolkata","Semi-Furnished","Bachelors",1,"Contact Owner",6,"June"
"373",7000,84,2022-06-11,2,986,"2 out of 3",2,3,"Carpet Area","Pranthik Society Library Road Bhadreswar","Kolkata","Unfurnished","Bachelors",1,"Contact Owner",6,"June"
"374",35000,420,2022-07-03,3,1330,"1 out of 3",1,3,"Carpet Area","Salt Lake City Sector 2","Kolkata","Unfurnished","Bachelors",2,"Contact Agent",7,"July"
"375",15000,180,2022-05-14,3,1300,"Ground out of 3",1,3,"Super Area","Lake Town","Kolkata","Semi-Furnished","Bachelors/Family",2,"Contact Owner",5,"May"
"376",6200,74.4,2022-05-22,2,800,"Ground out of 2",1,2,"Carpet Area","Kestopur","Kolkata","Unfurnished","Bachelors",1,"Contact Owner",5,"May"
"377",9900,118.8,2022-05-26,2,800,"1 out of 4",1,4,"Carpet Area","Bijoygarh","Kolkata","Unfurnished","Bachelors/Family",1,"Contact Owner",5,"May"
"378",7000,84,2022-07-03,2,850,"Ground out of 3",1,3,"Super Area","Baranagar","Kolkata","Unfurnished","Bachelors",1,"Contact Owner",7,"July"
"379",5000,60,2022-05-10,1,322,"1 out of 3",1,3,"Carpet Area","Dum Dum Metro","Kolkata","Unfurnished","Bachelors/Family",1,"Contact Agent",5,"May"
"380",6500,78,2022-06-19,2,800,"Ground out of 2",1,2,"Carpet Area","Agarpara","Kolkata","Furnished","Bachelors/Family",1,"Contact Owner",6,"June"
"381",40000,480,2022-07-03,4,1500,"Ground out of 2",1,2,"Carpet Area","Salt Lake City Sector 1","Kolkata","Unfurnished","Bachelors",2,"Contact Agent",7,"July"
"382",40000,480,2022-06-08,3,3500,"1 out of 2",1,2,"Super Area","Salt Lake City","Kolkata","Semi-Furnished","Bachelors/Family",2,"Contact Owner",6,"June"
"383",12000,144,2022-06-26,2,957,"1 out of 2",1,2,"Carpet Area","Dasnagar","Kolkata","Furnished","Bachelors",2,"Contact Owner",6,"June"
"384",6500,78,2022-05-18,1,850,"1 out of 3",1,3,"Carpet Area","Baksara","Kolkata","Unfurnished","Bachelors",1,"Contact Owner",5,"May"
"385",10000,120,2022-06-23,2,900,"Ground out of 2",1,2,"Carpet Area","Birati","Kolkata","Unfurnished","Bachelors",2,"Contact Owner",6,"June"
"386",15000,180,2022-06-29,2,600,"Ground out of 2",1,2,"Super Area","Agarpara","Kolkata","Semi-Furnished","Bachelors/Family",1,"Contact Owner",6,"June"
"387",5000,60,2022-05-09,1,350,"Ground out of 5",1,5,"Carpet Area","Agarpara","Kolkata","Semi-Furnished","Bachelors/Family",1,"Contact Owner",5,"May"
"388",7000,84,2022-06-18,2,800,"Ground out of 2",1,2,"Super Area","Thakurpukur","Kolkata","Unfurnished","Bachelors/Family",1,"Contact Owner",6,"June"
"389",6000,72,2022-05-31,2,320,"1 out of 2",1,2,"Carpet Area","Baishnabghata Patuli, Patuli","Kolkata","Unfurnished","Bachelors/Family",1,"Contact Owner",5,"May"
"390",15000,180,2022-04-29,3,800,"Ground out of 4",1,4,"Carpet Area","Jyangra","Kolkata","Unfurnished","Bachelors/Family",1,"Contact Owner",4,"April"
"391",10000,120,2022-07-03,2,700,"1 out of 1",1,1,"Carpet Area","Baghajatin","Kolkata","Semi-Furnished","Bachelors",2,"Contact Owner",7,"July"
"392",22000,264,2022-07-04,2,1200,"1 out of 2",1,2,"Super Area","Salt Lake City Sector 1","Kolkata","Semi-Furnished","Bachelors/Family",2,"Contact Agent",7,"July"
"393",8500,102,2022-05-23,2,750,"1 out of 2",1,2,"Carpet Area","Ramchandrapur north","Kolkata","Semi-Furnished","Bachelors/Family",1,"Contact Owner",5,"May"
"394",35000,420,2022-07-04,3,1200,"Ground out of 3",1,3,"Super Area","Salt Lake City Sector 1","Kolkata","Semi-Furnished","Bachelors/Family",3,"Contact Agent",7,"July"
"395",7000,84,2022-06-12,2,450,"Ground out of 4",1,4,"Carpet Area","Gandhi Colony, Netaji Nagar","Kolkata","Unfurnished","Bachelors/Family",1,"Contact Owner",6,"June"
"396",8500,102,2022-06-26,3,1430,"Ground out of 2",1,2,"Super Area","Baguihati","Kolkata","Semi-Furnished","Bachelors/Family",1,"Contact Owner",6,"June"
"397",6000,72,2022-05-09,2,450,"1 out of 3",1,3,"Super Area","Dum Dum Metro","Kolkata","Unfurnished","Bachelors/Family",1,"Contact Agent",5,"May"
"398",35000,420,2022-06-28,4,800,"Ground out of 1",1,1,"Super Area","Behala","Kolkata","Semi-Furnished","Bachelors/Family",3,"Contact Owner",6,"June"
"399",6000,72,2022-06-03,1,400,"1 out of 2",1,2,"Super Area","Thakurpukur","Kolkata","Unfurnished","Bachelors/Family",1,"Contact Owner",6,"June"
"400",8000,96,2022-04-23,2,650,"1 out of 2",1,2,"Super Area","Garia Station, Garia","Kolkata","Unfurnished","Bachelors/Family",1,"Contact Owner",4,"April"
"401",5000,60,2022-06-07,1,450,"1 out of 2",1,2,"Carpet Area","Fartabad, Garia","Kolkata","Unfurnished","Bachelors/Family",1,"Contact Owner",6,"June"
"402",6000,72,2022-05-24,2,600,"Ground out of 4",1,4,"Super Area","Belgharia","Kolkata","Unfurnished","Bachelors/Family",1,"Contact Owner",5,"May"
"403",15000,180,2022-06-10,3,1200,"1 out of 3",1,3,"Carpet Area","Lake Town","Kolkata","Unfurnished","Family",2,"Contact Owner",6,"June"
"404",9000,108,2022-05-13,2,700,"3 out of 3",3,3,"Carpet Area","Baguiati","Kolkata","Unfurnished","Bachelors",1,"Contact Owner",5,"May"
"405",5000,60,2022-05-13,1,300,"Ground out of 1",1,1,"Carpet Area","Barrackpore","Kolkata","Unfurnished","Bachelors",1,"Contact Agent",5,"May"
"406",8000,96,2022-05-26,3,1200,"1 out of 4",1,4,"Super Area","Ramkrishna Pally, Kaikhali","Kolkata","Unfurnished","Bachelors/Family",3,"Contact Owner",5,"May"
"407",35000,420,2022-07-03,3,1300,"Ground out of 1",1,1,"Carpet Area","Salt Lake City Sector 2","Kolkata","Unfurnished","Bachelors",2,"Contact Agent",7,"July"
"408",5500,66,2022-06-27,1,400,"Ground out of 1",1,1,"Super Area","Shyam Villa V, Dum Dum","Kolkata","Unfurnished","Bachelors/Family",1,"Contact Agent",6,"June"
"409",35000,420,2022-07-03,3,1320,"Ground out of 2",1,2,"Carpet Area","Salt Lake City Sector 1","Kolkata","Unfurnished","Bachelors",2,"Contact Agent",7,"July"
"410",11000,132,2022-04-24,2,1000,"Ground out of 1",1,1,"Super Area","Anandapuri, Barrackpore","Kolkata","Furnished","Bachelors/Family",2,"Contact Owner",4,"April"
"411",10000,120,2022-04-28,2,700,"1 out of 2",1,2,"Carpet Area","Sarat Ghosh Garden, Dhakuria","Kolkata","Unfurnished","Bachelors",1,"Contact Owner",4,"April"
"412",6500,78,2022-05-10,2,800,"Ground out of 2",1,2,"Carpet Area","locality","Kolkata","Unfurnished","Bachelors/Family",2,"Contact Owner",5,"May"
"413",6000,72,2022-06-08,2,900,"Ground out of 3",1,3,"Super Area","Baguiati","Kolkata","Furnished","Bachelors/Family",1,"Contact Owner",6,"June"
"414",36125,433.5,2022-04-23,3,1700,"Ground out of 2",1,2,"Super Area","Salt Lake City","Kolkata","Unfurnished","Bachelors/Family",2,"Contact Owner",4,"April"
"415",6800,81.6,2022-06-28,2,600,"Ground out of 2",1,2,"Carpet Area","Purba Putiary","Kolkata","Unfurnished","Bachelors",1,"Contact Owner",6,"June"
"416",8500,102,2022-06-20,2,850,"1 out of 2",1,2,"Carpet Area","Barasat","Kolkata","Unfurnished","Family",2,"Contact Owner",6,"June"
"417",5000,60,2022-05-22,2,550,"1 out of 3",1,3,"Carpet Area","Birati","Kolkata","Unfurnished","Bachelors",1,"Contact Owner",5,"May"
"418",6500,78,2022-06-30,1,650,"Ground out of 2",1,2,"Carpet Area","Garia Station, Garia","Kolkata","Furnished","Bachelors/Family",1,"Contact Owner",6,"June"
"419",6500,78,2022-04-23,1,800,"Ground out of 1",1,1,"Carpet Area","Santragachi","Kolkata","Unfurnished","Bachelors/Family",1,"Contact Owner",4,"April"
"420",4500,54,2022-05-31,2,475,"Ground out of 2",1,2,"Super Area","Birati","Kolkata","Unfurnished","Bachelors/Family",1,"Contact Owner",5,"May"
"421",6000,72,2022-06-19,1,200,"Ground out of 1",1,1,"Carpet Area","Salt Lake City Sector 5","Kolkata","Unfurnished","Bachelors/Family",1,"Contact Agent",6,"June"
"422",10000,120,2022-06-03,1,400,"Ground out of 2",1,2,"Carpet Area","Salt Lake City Sector 5","Kolkata","Unfurnished","Bachelors/Family",1,"Contact Agent",6,"June"
"423",12000,144,2022-05-18,1,500,"Ground out of 2",1,2,"Super Area","Madurdaha, Hussainpur","Kolkata","Furnished","Bachelors/Family",1,"Contact Agent",5,"May"
"424",12000,144,2022-06-19,2,550,"2 out of 3",2,3,"Carpet Area","Salt Lake City Sector 5","Kolkata","Unfurnished","Bachelors/Family",1,"Contact Agent",6,"June"
"425",12000,144,2022-05-31,2,800,"1 out of 2",1,2,"Super Area","Dum Dum","Kolkata","Unfurnished","Bachelors/Family",1,"Contact Owner",5,"May"
"426",9000,108,2022-05-22,2,1000,"2 out of 3",2,3,"Super Area","Airport Area Behala","Kolkata","Furnished","Bachelors/Family",2,"Contact Owner",5,"May"
"427",5000,60,2022-06-23,1,400,"Ground out of 5",1,5,"Carpet Area","Sonarpur","Kolkata","Semi-Furnished","Bachelors",1,"Contact Owner",6,"June"
"428",6000,72,2022-06-15,1,300,"1 out of 2",1,2,"Carpet Area","Picnic Garden, E M Bypass","Kolkata","Unfurnished","Bachelors/Family",1,"Contact Agent",6,"June"
"429",5500,66,2022-06-03,2,450,"1 out of 1",1,1,"Carpet Area","Bisharpara","Kolkata","Unfurnished","Bachelors/Family",1,"Contact Owner",6,"June"
"430",5500,66,2022-06-03,2,450,"1 out of 2",1,2,"Carpet Area","Bisharpara","Kolkata","Unfurnished","Bachelors/Family",1,"Contact Owner",6,"June"
"431",8500,102,2022-05-08,2,1100,"Ground out of 1",1,1,"Carpet Area","Nayabad","Kolkata","Unfurnished","Bachelors/Family",2,"Contact Owner",5,"May"
"432",5000,60,2022-05-25,1,450,"2 out of 2",2,2,"Super Area","Ananda Pally, Jadavpur","Kolkata","Unfurnished","Bachelors/Family",1,"Contact Owner",5,"May"
"433",23000,276,2022-07-04,2,1100,"Ground out of 2",1,2,"Carpet Area","Salt Lake City Sector 2","Kolkata","Unfurnished","Bachelors",2,"Contact Owner",7,"July"
"434",5500,66,2022-06-14,2,650,"2 out of 2",2,2,"Carpet Area","Behala","Kolkata","Unfurnished","Bachelors/Family",1,"Contact Owner",6,"June"
"435",8500,102,2022-06-03,2,780,"Ground out of 2",1,2,"Carpet Area","Airport Area","Kolkata","Unfurnished","Bachelors",1,"Contact Owner",6,"June"
"436",22000,264,2022-04-29,3,1100,"Ground out of 2",1,2,"Super Area","Salt Lake City Sector 2","Kolkata","Semi-Furnished","Bachelors/Family",2,"Contact Owner",4,"April"
"437",5500,66,2022-05-09,1,800,"2 out of 3",2,3,"Super Area","Barrackpore","Kolkata","Unfurnished","Bachelors/Family",1,"Contact Owner",5,"May"
"438",7000,84,2022-05-14,1,500,"Ground out of 2",1,2,"Super Area","Ranikuthi Telephone Exchange","Kolkata","Semi-Furnished","Bachelors/Family",2,"Contact Agent",5,"May"
"439",5000,60,2022-05-26,1,400,"3 out of 5",3,5,"Carpet Area","Hooghly-Chinsurah","Kolkata","Unfurnished","Bachelors",1,"Contact Owner",5,"May"
"440",5000,60,2022-07-03,1,450,"1 out of 1",1,1,"Carpet Area","Bansdroni Mauza, Krishnanagar","Kolkata","Unfurnished","Bachelors/Family",1,"Contact Owner",7,"July"
"441",6500,78,2022-05-13,2,550,"Ground out of 1",1,1,"Super Area","Kaikhali","Kolkata","Unfurnished","Bachelors/Family",1,"Contact Agent",5,"May"
"442",8000,96,2022-05-30,2,600,"1 out of 2",1,2,"Carpet Area","700051","Kolkata","Unfurnished","Bachelors/Family",1,"Contact Owner",5,"May"
"443",5500,66,2022-06-26,1,200,"1 out of 3",1,3,"Super Area","Jodhpur Park","Kolkata","Unfurnished","Bachelors/Family",1,"Contact Owner",6,"June"
"444",6000,72,2022-05-10,2,500,"1 out of 2",1,2,"Carpet Area","Purba Sinthi Area","Kolkata","Semi-Furnished","Bachelors/Family",1,"Contact Owner",5,"May"
"445",5500,66,2022-06-19,1,450,"Ground out of 3",1,3,"Carpet Area","Kadam Tala","Kolkata","Unfurnished","Bachelors",1,"Contact Owner",6,"June"
"446",10000,120,2022-05-14,2,1050,"Ground out of 1",1,1,"Super Area","Baidyabati","Kolkata","Unfurnished","Bachelors/Family",2,"Contact Owner",5,"May"
"447",10000,120,2022-04-26,3,1000,"2 out of 5",2,5,"Carpet Area","Bansdroni","Kolkata","Unfurnished","Bachelors",2,"Contact Owner",4,"April"
"448",10000,120,2022-06-01,2,1200,"Ground out of 3",1,3,"Super Area","Sodepur","Kolkata","Semi-Furnished","Bachelors/Family",2,"Contact Owner",6,"June"
"449",12000,144,2022-07-02,3,1100,"1 out of 1",1,1,"Super Area","Jagacha","Kolkata","Semi-Furnished","Family",2,"Contact Owner",7,"July"
"450",5200,62.4,2022-06-05,1,220,"Ground out of 2",1,2,"Super Area","New Town","Kolkata","Unfurnished","Bachelors/Family",1,"Contact Owner",6,"June"
"451",4000,48,2022-06-20,1,350,"1 out of 1",1,1,"Super Area","Behala","Kolkata","Unfurnished","Bachelors/Family",1,"Contact Owner",6,"June"
"452",30000,360,2022-04-26,3,1100,"Ground out of 3",1,3,"Carpet Area","FC Block","Kolkata","Unfurnished","Bachelors",1,"Contact Owner",4,"April"
"453",5146,61.752,2022-05-17,2,800,"Ground out of 2",1,2,"Super Area","Sodepur","Kolkata","Unfurnished","Bachelors/Family",1,"Contact Owner",5,"May"
"454",12000,144,2022-06-01,2,950,"Ground out of 2",1,2,"Super Area","Satgachi, South Dum Dum","Kolkata","Unfurnished","Bachelors/Family",1,"Contact Owner",6,"June"
"455",7000,84,2022-06-24,3,1200,"Ground out of 3",1,3,"Super Area","Hooghly-Chinsurah","Kolkata","Unfurnished","Bachelors/Family",1,"Contact Owner",6,"June"
"456",8500,102,2022-05-15,2,700,"Ground out of 2",1,2,"Super Area","Behala","Kolkata","Semi-Furnished","Bachelors/Family",1,"Contact Owner",5,"May"
"457",7000,84,2022-06-24,1,500,"1 out of 3",1,3,"Super Area","AH Block, Salt Lake","Kolkata","Unfurnished","Bachelors/Family",1,"Contact Owner",6,"June"
"458",9500,114,2022-06-23,2,570,"Ground out of 3",1,3,"Super Area","Dhakuria -South East, Dhakuria","Kolkata","Unfurnished","Bachelors/Family",1,"Contact Owner",6,"June"
"459",8000,96,2022-04-30,2,650,"2 out of 3",2,3,"Super Area","Baghajatin","Kolkata","Unfurnished","Bachelors/Family",1,"Contact Owner",4,"April"
"460",15000,180,2022-05-22,3,1200,"1 out of 2",1,2,"Super Area","Tollygunge","Kolkata","Unfurnished","Bachelors/Family",3,"Contact Owner",5,"May"
"461",22500,270,2022-06-08,5,960,"Ground out of 1",1,1,"Super Area","Kasba","Kolkata","Unfurnished","Bachelors/Family",2,"Contact Owner",6,"June"
"462",12500,150,2022-05-12,2,1250,"1 out of 2",1,2,"Super Area","Rajarhat","Kolkata","Semi-Furnished","Bachelors/Family",2,"Contact Owner",5,"May"
"463",34000,408,2022-05-30,3,120,"2 out of 5",2,5,"Super Area","CA 150 sector 1 saltlake","Kolkata","Furnished","Bachelors/Family",2,"Contact Owner",5,"May"
"464",14000,168,2022-05-28,3,950,"1 out of 2",1,2,"Carpet Area","Kaikhali","Kolkata","Semi-Furnished","Bachelors/Family",2,"Contact Owner",5,"May"
"465",9500,114,2022-06-03,1,600,"1 out of 2",1,2,"Carpet Area","Salt Lake City Sector 5","Kolkata","Unfurnished","Bachelors/Family",1,"Contact Agent",6,"June"
"466",7000,84,2022-05-10,2,750,"2 out of 2",2,2,"Super Area","Baughati","Kolkata","Unfurnished","Bachelors/Family",1,"Contact Owner",5,"May"
"467",20000,240,2022-06-13,3,1200,"3 out of 3",3,3,"Super Area","Bansdroni","Kolkata","Unfurnished","Bachelors/Family",2,"Contact Owner",6,"June"
"468",6500,78,2022-07-03,1,400,"Ground out of 2",1,2,"Carpet Area","Salt Lake City Sector 5","Kolkata","Semi-Furnished","Bachelors/Family",1,"Contact Agent",7,"July"
"469",7500,90,2022-04-29,1,600,"Ground out of 2",1,2,"Carpet Area","Garfa","Kolkata","Furnished","Bachelors/Family",1,"Contact Owner",4,"April"
"470",6500,78,2022-05-10,2,700,"Ground out of 2",1,2,"Super Area","Dum Dum","Kolkata","Unfurnished","Bachelors/Family",1,"Contact Owner",5,"May"
"471",9500,114,2022-06-14,2,850,"Ground out of 3",1,3,"Super Area","Baguiati","Kolkata","Semi-Furnished","Bachelors/Family",1,"Contact Owner",6,"June"
"472",1800,21.6,2022-05-12,1,500,"Ground out of 1",1,1,"Super Area","Shyam Bazar","Kolkata","Semi-Furnished","Bachelors/Family",1,"Contact Owner",5,"May"
"473",7500,90,2022-06-25,2,650,"Ground out of 2",1,2,"Carpet Area","Baghajatin","Kolkata","Unfurnished","Bachelors/Family",1,"Contact Owner",6,"June"
"474",10000,120,2022-06-17,2,800,"Ground out of 3",1,3,"Super Area","Bansdroni","Kolkata","Semi-Furnished","Bachelors/Family",2,"Contact Owner",6,"June"
"475",15000,180,2022-06-17,3,830,"3 out of 4",3,4,"Super Area","Dum Dum","Kolkata","Unfurnished","Bachelors/Family",2,"Contact Owner",6,"June"
"476",7000,84,2022-07-06,2,600,"Ground out of 2",1,2,"Super Area","Keshtopur","Kolkata","Unfurnished","Bachelors",1,"Contact Agent",7,"July"
"477",6000,72,2022-04-27,2,800,"1 out of 2",1,2,"Super Area","Chandannagar, Hooghly-Chinsurah","Kolkata","Unfurnished","Bachelors/Family",1,"Contact Owner",4,"April"
"478",14000,168,2022-06-02,2,1200,"Ground out of 1",1,1,"Super Area","Sakuntala Park, Behala","Kolkata","Semi-Furnished","Family",2,"Contact Owner",6,"June"
"479",22000,264,2022-06-03,2,1000,"Ground out of 2",1,2,"Super Area","Jheel Road","Kolkata","Furnished","Bachelors/Family",2,"Contact Owner",6,"June"
"480",18000,216,2022-06-29,2,750,"Ground out of 2",1,2,"Carpet Area","Salt Lake City Sector 1","Kolkata","Unfurnished","Bachelors/Family",2,"Contact Agent",6,"June"
"481",10000,120,2022-06-26,2,800,"Ground out of 3",1,3,"Carpet Area","Garia","Kolkata","Unfurnished","Bachelors",2,"Contact Owner",6,"June"
"482",6000,72,2022-06-10,2,1200,"Ground out of 3",1,3,"Super Area","Madhyam Gram","Kolkata","Unfurnished","Bachelors/Family",2,"Contact Owner",6,"June"
"483",10000,120,2022-05-11,2,750,"4 out of 4",4,4,"Carpet Area","Kumarpara, Narendrapur","Kolkata","Unfurnished","Bachelors/Family",1,"Contact Owner",5,"May"
"484",10000,120,2022-06-10,3,1500,"11 out of 19",11,19,"Super Area","Santoshpur","Kolkata","Semi-Furnished","Bachelors/Family",2,"Contact Owner",6,"June"
"485",5000,60,2022-05-08,1,300,"1 out of 3",1,3,"Super Area","Noapara, Addarsha Pally","Kolkata","Unfurnished","Bachelors/Family",1,"Contact Owner",5,"May"
"486",10000,120,2022-05-17,3,800,"Ground out of 2",1,2,"Carpet Area","Arobindo Pally, Paschim Putiary","Kolkata","Unfurnished","Bachelors",1,"Contact Owner",5,"May"
"487",7000,84,2022-06-10,2,450,"Ground out of 2",1,2,"Super Area","Dum Dum","Kolkata","Unfurnished","Bachelors/Family",2,"Contact Owner",6,"June"
"488",10000,120,2022-06-24,4,1200,"5 out of 10",5,10,"Super Area","Naihati","Kolkata","Furnished","Bachelors/Family",2,"Contact Owner",6,"June"
"489",6000,72,2022-06-10,2,500,"11 out of 14",11,14,"Super Area","Howrah","Kolkata","Semi-Furnished","Bachelors/Family",2,"Contact Owner",6,"June"
"490",18000,216,2022-06-26,2,900,"Ground out of 1",1,1,"Carpet Area","Garia","Kolkata","Semi-Furnished","Bachelors/Family",2,"Contact Owner",6,"June"
"491",8000,96,2022-06-30,2,460,"Ground out of 2",1,2,"Carpet Area","Majarhati","Kolkata","Unfurnished","Bachelors",1,"Contact Owner",6,"June"
"492",8000,96,2022-06-22,2,530,"2 out of 3",2,3,"Super Area","Baghajatin","Kolkata","Semi-Furnished","Family",1,"Contact Owner",6,"June"
"493",13000,156,2022-06-15,2,650,"Ground out of 4",1,4,"Carpet Area","Lake Gardens","Kolkata","Semi-Furnished","Bachelors/Family",2,"Contact Owner",6,"June"
"494",20000,240,2022-05-08,2,700,"Ground out of 1",1,1,"Carpet Area","Salt Lake City Sector 2","Kolkata","Semi-Furnished","Bachelors",2,"Contact Owner",5,"May"
"495",6000,72,2022-06-17,2,400,"2 out of 3",2,3,"Super Area","Baishnabghata Patuli Township, Patuli","Kolkata","Unfurnished","Bachelors/Family",1,"Contact Owner",6,"June"
"496",12000,144,2022-06-27,2,1000,"Ground out of 2",1,2,"Super Area","Picnic Garden, Tiljala","Kolkata","Unfurnished","Bachelors/Family",2,"Contact Owner",6,"June"
"497",10000,120,2022-06-04,1,400,"Ground out of 2",1,2,"Carpet Area","New Garia, Garia","Kolkata","Semi-Furnished","Bachelors",1,"Contact Owner",6,"June"
"498",14000,168,2022-05-10,2,700,"Ground out of 3",1,3,"Carpet Area","Santoshpur","Kolkata","Unfurnished","Bachelors",2,"Contact Owner",5,"May"
"499",10000,120,2022-07-03,2,850,"1 out of 4",1,4,"Carpet Area","Baranagar","Kolkata","Semi-Furnished","Bachelors",2,"Contact Owner",7,"July"
"500",10500,126,2022-06-21,2,558,"3 out of 3",3,3,"Carpet Area","Tollygunge","Kolkata","Unfurnished","Bachelors/Family",2,"Contact Agent",6,"June"
"501",6000,72,2022-06-08,2,800,"3 out of 4",3,4,"Super Area","Thakurpukur","Kolkata","Unfurnished","Bachelors/Family",1,"Contact Owner",6,"June"
"502",12000,144,2022-06-10,2,900,"1 out of 2",1,2,"Carpet Area","Bansdroni Mauza, Krishnanagar","Kolkata","Unfurnished","Bachelors/Family",2,"Contact Owner",6,"June"
"503",14000,168,2022-06-27,3,1600,"1 out of 3",1,3,"Super Area","Ramrajatala","Kolkata","Furnished","Bachelors/Family",2,"Contact Owner",6,"June"
"504",3700,44.4,2022-06-14,1,150,"1 out of 5",1,5,"Carpet Area","Lake Gardens","Kolkata","Unfurnished","Bachelors",1,"Contact Owner",6,"June"
"505",40000,480,2022-06-06,3,1600,"Ground out of 3",1,3,"Carpet Area","Salt Lake City Sector 2","Kolkata","Unfurnished","Bachelors",2,"Contact Agent",6,"June"
"506",25000,300,2022-05-20,3,1000,"2 out of 4",2,4,"Super Area","Rash Behari Avenue Connector","Kolkata","Unfurnished","Bachelors/Family",1,"Contact Owner",5,"May"
"507",2200,26.4,2022-06-20,1,700,"1 out of 3",1,3,"Super Area","Baranagar","Kolkata","Unfurnished","Bachelors/Family",1,"Contact Owner",6,"June"
"508",3300,39.6,2022-04-28,1,175,"Ground out of 2",1,2,"Super Area","New Town","Kolkata","Unfurnished","Bachelors/Family",1,"Contact Owner",4,"April"
"509",5000,60,2022-05-12,1,450,"Ground out of 1",1,1,"Super Area","Siriti, Tollygunge","Kolkata","Semi-Furnished","Bachelors/Family",1,"Contact Owner",5,"May"
"510",60000,720,2022-06-02,3,1700,"1 out of 3",1,3,"Carpet Area","Salt Lake City","Kolkata","Semi-Furnished","Bachelors",3,"Contact Agent",6,"June"
"511",6000,72,2022-06-09,2,425,"2 out of 3",2,3,"Carpet Area","Nimta","Kolkata","Unfurnished","Bachelors/Family",1,"Contact Owner",6,"June"
"512",7000,84,2022-05-17,3,900,"1 out of 2",1,2,"Super Area","Michael Nagar, New Barrakpur","Kolkata","Semi-Furnished","Bachelors/Family",3,"Contact Owner",5,"May"
"513",5000,60,2022-05-28,1,400,"4 out of 4",4,4,"Carpet Area","Keshtopur","Kolkata","Unfurnished","Bachelors/Family",1,"Contact Agent",5,"May"
"514",11000,132,2022-07-03,2,600,"Ground out of 2",1,2,"Super Area","Beliaghata","Kolkata","Unfurnished","Bachelors/Family",1,"Contact Agent",7,"July"
"515",10000,120,2022-06-28,2,721,"3 out of 4",3,4,"Super Area","Belgharia Nimta","Kolkata","Furnished","Bachelors/Family",2,"Contact Owner",6,"June"
"516",22000,264,2022-07-06,3,1150,"1 out of 2",1,2,"Carpet Area","Salt Lake City Sector 2","Kolkata","Unfurnished","Bachelors/Family",2,"Contact Agent",7,"July"
"517",65000,780,2022-06-05,3,2210,"Ground out of 2",1,2,"Carpet Area","Vedic Village, Rajarhat","Kolkata","Unfurnished","Bachelors/Family",3,"Contact Owner",6,"June"
"518",7500,90,2022-04-29,2,675,"Ground out of 2",1,2,"Super Area","Dum Dum","Kolkata","Unfurnished","Bachelors/Family",1,"Contact Owner",4,"April"
"519",45000,540,2022-06-08,2,1320,"Lower Basement out of 2",-2,2,"Super Area","Ballygunge","Kolkata","Furnished","Bachelors/Family",2,"Contact Owner",6,"June"
"520",5000,60,2022-06-19,1,250,"Ground out of 2",1,2,"Carpet Area","Salt Lake City Sector 5","Kolkata","Unfurnished","Bachelors/Family",1,"Contact Agent",6,"June"
"521",12000,144,2022-05-11,2,720,"Ground out of 1",1,1,"Super Area","Shyam Bazar","Kolkata","Unfurnished","Bachelors",2,"Contact Owner",5,"May"
"522",25000,300,2022-05-12,5,1880,"2 out of 2",2,2,"Carpet Area","Dashdrone","Kolkata","Unfurnished","Bachelors",2,"Contact Owner",5,"May"
"523",18000,216,2022-05-29,3,850,"1 out of 1",1,1,"Carpet Area","Sangati Colony, Netaji Nagar","Kolkata","Semi-Furnished","Bachelors/Family",3,"Contact Owner",5,"May"
"524",25000,300,2022-06-29,2,1050,"1 out of 1",1,1,"Carpet Area","Sahapur, New Alipore","Kolkata","Unfurnished","Bachelors/Family",2,"Contact Owner",6,"June"
"525",25000,300,2022-05-16,1,320,"2 out of 7",2,7,"Super Area","Shaheen Apartment, Andheri West","Mumbai","Semi-Furnished","Bachelors/Family",1,"Contact Owner",5,"May"
"526",70000,840,2022-06-14,2,750,"4 out of 10",4,10,"Carpet Area","Santacruz West","Mumbai","Furnished","Bachelors/Family",2,"Contact Agent",6,"June"
"527",45000,540,2022-05-26,1,450,"7 out of 10",7,10,"Carpet Area","Rose Queen, Old Khar","Mumbai","Furnished","Bachelors/Family",1,"Contact Agent",5,"May"
"528",75000,900,2022-05-27,3,1100,"2 out of 13",2,13,"Carpet Area","Sabari Palm View, Chembur","Mumbai","Unfurnished","Family",3,"Contact Agent",5,"May"
